"price";"date";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"waterfront";"view";"condition";"grade";"sqft_above";"sqft_basement";"yr_built";"yr_renovated";"zipcode";"lat";"long";"sqft_living15";"sqft_lot15"
545000;NA;5;2,5;2520;7863;1;0;0;3;7;1500;1020;1981;0;98034;47,7096;-122,199;2030;8580
570000;"2014 Oct";4;3;1490;6766;1,5;0;1;5;7;1490;0;1915;0;98136;47,5446;-122,382;1990;6526
1321500;"2015 Apr";3;3;2230;12968;2;0;0;3;9;2230;0;1990;0;98004;47,6271;-122,197;2260;10160
440000;"2014 June";3;1,75;1560;7207;1;0;0;3;7;1250;310;1983;0;98034;47,7283;-122,222;1540;7485
349500;"2014 Aug";3;1,75;1260;7128;1;0;0;4;7;1260;0;1969;0;98034;47,7263;-122,205;1330;7326
850000;"2014 Oct";4;3,25;3450;6500;2;0;0;3;8;2450;1000;1994;0;98136;47,5437;-122,388;1750;6500
379000;"2015 Mar";3;1;1140;10320;1;0;0;4;7;1140;0;1963;0;98034;47,7168;-122,196;1140;10412
790000;"2014 Aug";4;2,75;2840;11900;1;0;3;4;9;1640;1200;1961;0;98136;47,5271;-122,386;2790;10070
986000;"2015 Apr";3;2,5;2380;16080;1;0;2;4;9;1340;1040;1964;0;98136;47,5262;-122,386;2560;10070
730000;"2015 May";5;1,75;2690;21357;1;0;0;4;7;1420;1270;1952;0;98004;47,5831;-122,191;2600;17539
575000;"2014 Jul";4;1,5;2810;7140;1;0;2;3;8;1490;1320;1954;0;98136;47,5252;-122,382;2240;6825
430000;"2014 Nov";3;1,75;1810;7300;1;0;0;4;7;1240;570;1976;0;98034;47,7299;-122,192;1460;7560
1955000;"2015 Apr";4;2,75;3120;7898;1;1;4;4;8;1560;1560;1963;0;98034;47,7165;-122,259;2630;13868
435000;"2014 Aug";6;3,5;2400;8620;2;0;0;3;8;1640;760;1987;0;98034;47,7152;-122,162;1940;7350
482500;"2014 Sep";6;4,5;2940;7500;1,5;0;0;4;8;2940;0;1966;0;98034;47,7208;-122,182;2010;7500
460000;"2015 May";3;3;1520;7500;1;0;0;3;7;1180;340;1967;0;98034;47,7276;-122,181;2080;8000
850000;"2014 Oct";3;1,75;1400;9900;1;0;0;3;7;1400;0;1951;0;98004;47,6272;-122,209;1810;10796
875000;"2014 June";3;3,5;3250;6000;2;0;0;3;10;2500;750;2001;0;98136;47,5533;-122,391;1650;6000
349000;"2014 Oct";3;2,25;1640;7261;2;0;0;3;7;1640;0;1989;0;98034;47,7192;-122,176;1640;6789
321000;"2015 Apr";5;2,75;3030;7000;1;0;0;4;7;1540;1490;1978;0;98032;47,3661;-122,28;1790;7330
2300000;"2014 June";4;3,25;4250;8570;2;0;0;3;9;4250;0;2004;0;98004;47,6154;-122,21;2830;12821
2260000;"2015 Feb";3;3,5;3110;14872;1;0;0;3;10;3110;0;2003;0;98004;47,6178;-122,209;3110;12433
355000;"2014 Jul";2;1;960;6250;1;0;0;3;6;960;0;1916;0;98136;47,5491;-122,386;1350;6250
455000;"2015 Feb";3;1,5;1380;6657;2;0;0;3;7;1380;0;1986;0;98034;47,7085;-122,217;1420;8187
445950;"2014 Sep";3;1,75;1300;7800;1;0;0;5;7;1300;0;1968;0;98034;47,7321;-122,195;1520;7344
334000;"2014 June";4;1,5;1150;9360;1,5;0;0;3;6;1150;0;1970;0;98034;47,7197;-122,173;1480;8155
459000;"2014 June";3;1,75;1620;7330;1;0;0;4;7;1090;530;1974;0;98034;47,7148;-122,213;1380;7191
5350000;"2015 Apr";5;5;8000;23985;2;0;4;3;12;6720;1280;2009;0;98004;47,6232;-122,22;4600;21750
140000;"2015 Feb";3;1;1090;10620;1,5;0;0;3;7;1090;0;1959;0;98032;47,3748;-122,294;1380;10620
440000;"2014 June";3;1;1050;7500;1;0;0;3;6;1050;0;1900;0;98136;47,5473;-122,396;1380;7500
4e+05;"2015 Mar";3;2,25;1500;2692;2;0;0;3;7;1500;0;1986;0;98034;47,7159;-122,203;1470;2418
405000;"2014 Aug";4;2,5;2030;9095;1;0;0;4;7;1130;900;1972;0;98034;47,7321;-122,185;1940;8000
425000;"2014 Aug";3;2,25;1570;7475;1;0;0;4;7;1200;370;1983;0;98034;47,7223;-122,174;1700;7230
935000;"2014 June";2;2,5;1780;2067;2;0;0;5;9;1780;0;1974;0;98004;47,6132;-122,21;2320;2067
503000;"2014 May";3;2,75;1540;6760;1;0;0;5;7;1210;330;1980;0;98034;47,7163;-122,212;1540;7416
343000;"2014 Sep";3;NA;1120;7250;1;0;0;4;7;1120;0;1972;0;98034;47,7143;-122,211;1340;7302
720000;"2014 Sep";3;1,5;1590;7080;1;0;2;3;8;1310;280;1952;0;98136;47,5244;-122,386;2080;7200
434500;"2015 Mar";3;1,75;1650;7965;1;0;0;4;7;1650;0;1967;0;98034;47,7335;-122,193;1560;7350
525000;"2015 Apr";4;2,5;2400;10070;1;0;0;3;7;1510;890;1967;0;98034;47,7104;-122,24;2030;9964
1375000;"2014 Oct";3;NA;1850;10572;1;0;0;4;8;1850;0;1953;0;98004;47,6194;-122,208;3030;12752
453500;"2014 Oct";2;1,5;1710;4189;1;0;1;5;7;1160;550;1951;0;98136;47,5286;-122,383;1530;5608
229900;"2014 Oct";3;1,75;1100;7224;1;0;0;3;7;1100;0;1981;0;98032;47,3717;-122,277;1700;8447
370000;"2014 Dec";3;2,75;1250;1655;2;0;0;3;7;830;420;2006;0;98136;47,5554;-122,382;1520;3001
248000;"2014 Dec";4;2,25;2320;8760;1;0;0;4;8;1160;1160;1966;0;98032;47,3627;-122,285;1970;8690
495000;"2014 Sep";4;2,5;2020;7200;1;0;0;5;7;1010;1010;1968;0;98034;47,7289;-122,201;1620;7275
450000;"2014 Sep";3;2,25;1780;9969;1;0;0;3;8;1450;330;1985;0;98034;47,7286;-122,168;1950;7974
874150;"2014 June";4;3,5;3530;14406;2;0;1;3;10;2570;960;1987;0;98034;47,7073;-122,244;3170;15181
281000;"2015 Apr";2;1;930;2600;1;0;0;3;7;930;0;1981;0;98034;47,7242;-122,161;1370;3488
340000;"2015 Feb";4;1;1230;8316;1,5;0;0;3;7;1230;0;1963;0;98034;47,7269;-122,24;1490;8316
561000;"2014 May";3;2;2000;7000;2;0;0;3;7;2000;0;1916;1986;98136;47,5452;-122,393;1840;7000
469000;"2014 Sep";3;2,25;1820;8446;2;0;0;3;NA;1820;0;1978;0;98034;47,7208;-122,236;1850;8437
360000;"2014 Aug";2;2;1180;3200;1;0;1;4;6;590;590;1945;0;98136;47,5275;-122,383;1350;4000
1928000;"2014 Oct";4;3,25;4280;20296;2;0;0;4;11;4280;0;1984;0;98004;47,6377;-122,212;3420;16351
467500;"2014 Dec";4;2,5;3160;7210;1;0;0;4;7;1880;1280;1969;0;98034;47,7368;-122,183;2070;7560
415000;"2014 Dec";3;1,5;1490;7275;1;0;0;3;7;1090;400;1974;0;98034;47,7148;-122,213;1420;7330
1430000;"2014 Sep";4;2,5;3380;27589;2;0;0;3;10;3380;0;1966;0;98004;47,6292;-122,225;3390;20075
607000;"2015 Apr";5;1,75;1910;5428;1;0;0;3;8;1390;520;1954;0;98136;47,5333;-122,392;1820;5900
389950;"2015 May";2;1;820;4234;1;0;1;3;6;820;0;1951;0;98136;47,5294;-122,386;1550;4236
386500;"2015 Feb";3;1,75;1520;7350;1;0;0;4;7;1140;380;1972;0;98034;47,7167;-122,17;1380;7350
405000;"2014 June";2;1,75;1710;4234;2;0;0;3;7;1330;380;1920;1979;98136;47,5319;-122,386;1530;4556
485000;"2014 Dec";4;2,75;2560;8956;1;0;0;4;7;1500;1060;1968;0;98034;47,7278;-122,177;2280;9234
590000;"2014 Sep";3;2;3030;9374;1;0;1;4;7;2100;930;1959;0;98136;47,5289;-122,391;1990;6012
310000;"2014 Sep";3;1;1990;7173;1;0;0;3;7;1990;0;1972;0;98034;47,7116;-122,213;1320;7245
835000;"2014 Jul";5;4;3600;14720;1;0;2;5;8;1800;1800;1960;0;98034;47,7022;-122,227;3600;15358
350000;"2014 Sep";4;1;1010;6000;1;0;0;3;6;750;260;1925;0;98136;47,5518;-122,383;1450;6000
464900;"2014 June";4;2,25;2020;8424;1;0;0;4;7;1380;640;1979;0;98034;47,7262;-122,233;2030;7236
528000;"2015 Apr";4;1,75;1860;9750;1;0;0;3;7;1460;400;1969;0;98034;47,7097;-122,202;1900;8913
545000;"2014 Aug";4;1,75;1940;8990;1;0;0;4;8;1560;380;1956;0;98034;47,7021;-122,241;2310;11745
460000;"2014 June";3;2,5;1730;8490;1;0;0;3;7;1210;520;1969;0;98034;47,7187;-122,219;1870;7400
767500;"2014 Jul";6;3,5;2410;6000;2;0;4;3;9;2220;190;1916;1990;98136;47,54;-122,382;1980;6000
1635000;"2014 June";5;3,5;4220;26784;1;0;0;3;10;2110;2110;1958;2006;98004;47,6003;-122,206;3450;33945
491500;"2014 Jul";4;2,75;2100;7236;1;0;0;3;8;1400;700;1979;0;98034;47,7267;-122,232;1900;7519
678500;"2014 June";3;2;2460;6600;1;0;2;4;8;1370;1090;1952;0;98136;47,5215;-122,383;2150;6600
463000;"2014 Jul";4;2,5;1980;6660;2;0;0;4;7;1980;0;1974;0;98034;47,7158;-122,167;1980;7150
735000;"2014 Sep";4;1,75;2100;7960;1;0;0;3;8;1340;760;1955;0;98004;47,6079;-122,195;2060;7960
950000;"2014 Nov";4;1,75;2210;19025;1;0;0;4;7;1460;750;1952;0;98004;47,5927;-122,203;2640;14999
410000;"2014 June";1;1,5;1010;5750;1;0;0;3;7;1010;0;1911;1948;98136;47,5411;-122,392;1230;5750
760000;"2014 Oct";4;1,75;2770;8521;1;0;0;4;7;1470;1300;1953;0;98004;47,6255;-122,199;1910;9380
1550000;"2015 Feb";5;2,5;2450;20805;2;0;0;4;9;2450;0;1963;0;98004;47,6275;-122,227;3020;20324
257000;"2015 Jan";3;1,75;1850;10920;1,5;0;0;3;6;1850;0;1915;0;98034;47,7244;-122,222;1510;7871
465000;"2015 Apr";3;1,75;1490;10757;1;0;0;3;7;1060;430;1966;0;98034;47,72;-122,229;1490;10609
2750000;"2015 Jan";5;4;6300;16065;2;0;1;3;12;4360;1940;2004;0;98004;47,5922;-122,207;3260;17287
418000;"2015 Apr";2;1,5;1480;1349;2;0;0;3;7;1240;240;2007;0;98136;47,5439;-122,386;1550;1349
429500;"2015 Jan";3;2,75;1650;7272;1;0;0;4;7;1230;420;1972;0;98034;47,7232;-122,174;1770;7272
993000;"2014 Sep";4;2;2850;14810;2;0;0;5;8;2490;360;1954;0;98004;47,5892;-122,203;2430;10454
1400000;"2015 Apr";4;2,5;2770;8879;2;0;0;3;9;2770;0;2001;0;98004;47,5831;-122,193;2770;8882
471000;"2014 Dec";3;2,5;2010;4059;2;0;0;3;8;2010;0;1998;0;98034;47,7317;-122,197;2010;5779
555000;"2015 Jan";3;3;2920;23085;1,5;0;2;3;7;1540;1380;1908;0;98136;47,5159;-122,395;2270;18180
650000;"2014 Sep";5;3,5;5110;10018;2;0;0;3;10;3850;1260;2003;0;98034;47,7261;-122,17;1790;10018
446000;"2014 May";4;2,25;2270;7800;1;0;0;3;7;1290;980;1977;0;98034;47,7278;-122,192;1480;7280
1544500;"2014 Sep";4;2,75;4910;15139;1;0;0;4;10;2560;2350;1964;0;98004;47,6444;-122,22;3980;15139
655000;"2014 Oct";4;2,5;2570;4412;2;0;0;3;9;2570;0;2001;0;98034;47,7076;-122,232;2460;5470
985000;"2014 Dec";3;3,5;2600;11920;2;0;0;5;8;2600;0;1969;0;98004;47,582;-122,194;2430;10050
1600000;"2014 May";3;2,5;3160;12824;1;0;2;4;9;1820;1340;1966;0;98004;47,6151;-122,216;3390;11985
1865000;"2015 Mar";4;2,5;2950;43560;1;0;2;4;9;2550;400;1951;0;98004;47,5988;-122,207;3260;41016
419950;"2014 Sep";3;2,25;2280;8500;1;0;0;4;7;1680;600;1977;0;98034;47,7211;-122,166;1890;7700
612000;"2014 Nov";3;3;2330;10327;1;0;0;3;9;2330;0;1998;0;98034;47,7239;-122,164;2200;4629
895000;"2015 Apr";5;2,5;2350;14197;1;0;0;4;8;1220;1130;1962;0;98004;47,6005;-122,204;2470;11629
387000;"2014 Oct";3;1,5;1340;6500;1;0;0;3;7;1340;0;1972;0;98034;47,7168;-122,192;1620;7107
375000;"2014 May";3;1,75;1440;8775;1;0;0;3;NA;1440;0;1973;0;98034;47,7231;-122,17;1790;7865
1065000;"2014 May";2;1,75;1890;9466;2;0;0;3;8;1890;0;1987;0;98004;47,6144;-122,211;2180;12825
530000;"2015 Mar";3;2,25;1680;7262;1;0;0;5;7;1180;500;1973;0;98034;47,713;-122,225;1910;7405
395000;"2014 Jul";3;1,75;1480;7700;1;0;0;3;8;1480;0;1975;0;98034;47,7225;-122,202;1930;8560
311000;"2014 Oct";3;1;1310;8370;1,5;0;0;3;7;1310;0;1962;0;98034;47,7284;-122,241;1310;8370
470000;"2015 Feb";6;1,75;2490;8732;1,5;0;0;4;8;2490;0;1966;0;98034;47,7252;-122,187;1840;8024
705000;"2014 Dec";4;2,5;2910;20946;2;0;0;4;8;2350;560;1976;0;98034;47,7085;-122,24;2020;11342
1000750;"2015 Apr";3;2,75;3070;10739;2;0;0;3;10;2440;630;1987;0;98004;47,6444;-122,191;3490;11913
223000;"2014 June";3;1;1030;9120;1;0;0;3;7;1030;0;1961;0;98032;47,3607;-122,291;1470;10220
570000;"2015 Jan";3;2,75;2730;11936;2;0;2;3;8;1530;1200;1978;0;98034;47,6987;-122,231;2810;12333
1150000;"2014 June";3;2,5;2850;10474;1;0;0;4;8;1730;1120;1954;0;98004;47,6218;-122,209;2820;10474
385000;"2014 June";3;NA;1300;7030;1;0;0;3;7;1300;0;1968;0;98034;47,721;-122,179;1450;7650
416000;"2014 Nov";3;2,5;1800;5372;2;0;0;3;8;1800;0;1987;0;98034;47,7188;-122,177;1650;6014
560000;"2014 Aug";3;3,5;2270;4088;2;0;0;3;8;1880;390;1996;0;98136;47,5356;-122,384;1760;5425
524000;"2014 Dec";4;1;1980;7015;1;0;0;3;7;1260;720;1973;0;98034;47,7204;-122,18;1570;7626
845000;"2014 Sep";5;2;1720;9972;1;0;0;4;8;1720;0;1951;0;98004;47,6368;-122,218;2700;9023
450000;"2014 Jul";4;1,75;1980;7350;1;0;0;3;7;1430;550;1973;0;98034;47,7088;-122,202;1870;7920
515000;"2014 May";2;1;1680;6500;1;0;0;4;7;1140;540;1941;0;98136;47,55;-122,388;1610;6500
441500;"2015 Apr";3;1,75;1510;7700;1;0;0;3;7;1510;0;1968;0;98034;47,7283;-122,194;1440;7416
425000;"2014 Sep";3;2,25;1630;10500;1;0;0;3;7;1100;530;1974;0;98034;47,7176;-122,236;1640;9794
402000;"2014 May";3;2,5;1960;8000;1;0;0;4;7;1290;670;1977;0;98034;47,7249;-122,178;1960;8000
355000;"2014 Nov";3;1,5;1240;15867;1;0;0;3;7;1240;0;1962;0;98034;47,7167;-122,202;1570;9600
3e+06;"2015 Feb";5;3,25;5370;14091;2;0;0;3;10;3850;1520;1918;2008;98004;47,6499;-122,216;2410;12047
510000;"2014 June";3;1,75;1600;19200;1;0;0;4;7;1600;0;1967;0;98034;47,7202;-122,249;2010;14850
240000;"2014 Oct";3;1;1470;7350;1;0;0;3;7;1470;0;1969;0;98032;47,3616;-122,286;1720;8050
123300;"2014 Dec";3;1;1150;8050;1,5;0;0;4;7;1150;0;1956;0;98032;47,374;-122,296;1360;8050
950000;"2014 Nov";4;2,75;2500;20000;1;0;0;4;8;1700;800;1969;0;98004;47,5901;-122,198;2650;20000
313500;"2014 Aug";3;2,25;1440;3488;2;0;0;4;7;1440;0;1983;0;98034;47,7257;-122,162;1390;3488
453000;"2014 Jul";3;2;1660;15050;1;0;0;3;7;1260;400;1983;0;98034;47,7203;-122,194;1660;7320
310000;"2014 Sep";3;1;990;7050;1;0;0;3;7;990;0;1967;0;98034;47,7274;-122,202;1200;8125
386900;"2015 Mar";3;1;1330;10500;1;0;0;3;7;960;370;1963;0;98034;47,7204;-122,196;1460;11550
424950;"2014 Dec";3;1,75;2090;7505;1;0;0;3;7;2090;0;1967;0;98034;47,7326;-122,194;1510;7416
2288000;"2014 Jul";4;2,5;4080;18362;2;0;2;4;11;4080;0;1983;0;98004;47,6344;-122,214;4080;19991
4e+05;"2014 Oct";3;1,75;1470;6682;1;0;0;3;7;1470;0;1987;0;98034;47,7315;-122,226;1790;7379
870000;"2014 Sep";4;3;2940;7108;2;0;1;3;9;2220;720;2011;0;98136;47,5437;-122,395;2240;7950
176500;NA;3;1;930;9900;1,5;0;0;4;5;930;0;1910;0;98032;47,3745;-122,231;930;7200
720000;"2014 Aug";2;1,5;1840;9000;1;0;2;3;8;1340;500;1957;0;98136;47,5281;-122,388;1880;7560
850000;"2014 June";3;2,25;2870;8170;2;0;0;3;10;2250;620;1995;0;98136;47,5363;-122,385;1310;8170
1135000;"2014 May";4;2,75;3370;8103;1;0;3;3;9;1970;1400;1970;2014;98136;47,5232;-122,383;2120;6360
427500;"2015 Mar";3;1,75;1240;7200;1;0;0;5;NA;1240;0;1942;0;98136;47,5142;-122,389;1640;7200
405000;"2014 Nov";4;2,75;2360;7716;1;0;0;3;7;1390;970;1978;0;98034;47,7301;-122,223;2160;8794
234000;"2014 Jul";3;1;1750;8820;1;0;0;4;7;1750;0;1961;0;98032;47,3608;-122,29;1400;9600
299000;"2014 Jul";3;2,25;1920;7840;2;0;0;4;8;1920;0;1982;0;98032;47,3631;-122,276;2170;7210
1901000;"2014 June";3;2,5;2660;13367;2;0;2;3;10;2660;0;1992;0;98004;47,6501;-122,217;2660;13367
491500;"2015 May";3;2,25;1560;12000;1;0;0;4;7;1110;450;1968;0;98034;47,7256;-122,166;2190;4612
240000;"2015 Feb";3;1,75;1630;9450;1;0;0;4;7;1080;550;1977;0;98032;47,3729;-122,295;1280;9100
1208000;"2015 Apr";4;3,75;3250;10949;2;0;0;4;9;2940;310;1930;1989;98004;47,639;-122,219;2340;15234
805500;"2015 Jan";3;1;1440;10330;1;0;0;4;7;1440;0;1952;0;98004;47,6245;-122,193;2080;10327
456500;"2015 Jan";3;2,25;2090;9163;1;0;0;3;7;1460;630;1975;0;98034;47,7334;-122,167;1960;NA
1306000;"2014 Aug";5;2,5;2770;8100;2;0;0;3;9;2770;0;2002;0;98004;47,6341;-122,208;2070;8100
1965000;"2015 Feb";5;3,75;3940;13738;1,5;0;3;4;9;3940;0;1951;0;98004;47,6203;-122,212;2370;13320
7e+05;"2015 Mar";2;1;930;5000;1;0;3;3;7;930;0;1926;2013;98136;47,5333;-122,388;1760;5228
363000;"2014 Jul";2;1;820;4880;1;0;0;4;6;820;0;1925;0;98136;47,5483;-122,394;1320;4880
240000;"2014 Oct";3;1;1350;7560;1;0;0;4;7;950;400;1959;0;98032;47,3784;-122,303;1470;7560
4e+05;"2015 Apr";2;1;910;4000;1;0;0;3;7;910;0;1918;0;98136;47,5427;-122,388;1060;1346
2075000;"2014 June";4;3,5;4230;20377;2;0;0;3;11;4230;0;1997;0;98004;47,5954;-122,206;3980;20489
374500;"2015 Jan";3;1,5;1330;8636;1;0;0;4;7;1330;0;1968;0;98034;47,7289;-122,203;1370;7475
485000;"2014 May";4;3;2340;7048;1;0;0;4;8;1340;1000;1979;0;98034;47,7306;-122,227;1440;8088
950000;"2015 May";3;1,5;1700;8050;1;0;0;3;7;1130;570;1950;0;98004;47,6304;-122,218;2920;12239
650000;NA;3;NA;1300;8266;1;0;0;4;7;1300;0;1953;0;98004;47,6337;-122,199;1300;8707
221700;"2014 Dec";2;1,5;1556;20000;1;0;0;4;7;1556;0;1957;0;98032;47,3891;-122,282;2250;17286
1100000;"2014 June";3;2,5;2200;20000;1;0;1;3;7;1400;800;1952;0;98004;47,5809;-122,191;3050;11775
425000;"2014 May";4;2;1520;7983;1;0;0;5;7;1520;0;1967;0;98034;47,7357;-122,193;1520;NA
1290000;"2015 Mar";5;3,5;4090;290980;1;0;0;3;11;2920;1170;2002;0;98034;47,7161;-122,219;1880;9255
1230000;"2014 June";3;1,75;2200;14630;1,5;0;1;3;8;2200;0;1948;2003;98004;47,6074;-122,213;2850;15803
380000;"2014 June";3;1,5;1520;4288;1;0;0;3;7;1020;500;1949;0;98136;47,5284;-122,387;1660;4288
569000;"2014 Sep";4;1,75;1230;7890;1;0;1;4;7;1090;140;1950;0;98004;47,5808;-122,189;2380;13176
425000;"2014 Jul";4;2,25;2060;8540;1;0;0;4;7;1540;520;1967;0;98034;47,734;-122,19;1560;7700
1575000;"2014 May";5;2,75;3650;20150;1;0;0;4;10;2360;1290;1975;0;98004;47,6215;-122,224;3220;19800
372220;"2014 May";3;1;1290;5500;1;0;0;3;7;980;310;1951;0;98136;47,5266;-122,392;1680;5000
249000;"2014 Jul";4;2,25;1860;9576;1;0;0;3;7;1400;460;1962;0;98032;47,3612;-122,284;1860;9576
